Регіон,Код 2004,Код 2013,Code 2004,Code 2013
АР Крим,АК,КК,AK,KK
місто Київ,АА,КА,AA,KA
Вінницька область,АВ,КВ,AB,KB
Волинська область,АС,КС,AC,KC
Дніпропетровська область,АЕ,КЕ,AE,KE
Донецька область,АН,КН,AH,KH
Київська область,АІ,КІ,AI,KI
Житомирська область,АМ,КМ,AM,KM
Закарпатська область,АО,КО,AO,KO
Запорізька область,АР,КР,AP,KP
Івано-Франківська область,АТ,КТ,AT,KT
Харківська область,АХ,КХ,AX,KX
Кіровоградська область,ВА,НА,BA,HA
Луганська область,ВВ,НВ,BB,HB
Львівська область,ВС,НС,BC,HC
Миколаївська область,ВЕ,НЕ,BE,HE
Одеська область,ВН,НН,BH,HH
Полтавська область,ВІ,НІ,BI,HI
Рівненська область,ВК,НК,BK,HK
Сумська область,ВМ,НМ,BM,HM
Тернопільська область,ВО,НО,BO,HO
Херсонська область,ВТ,НТ,BT,HT
Хмельницька область,ВХ,НХ,BX,HX
Черкаська область,СА,ІА,CA,IA
Чернігівська область,СВ,ІВ,CB,IB
Чернівецька область,СЕ,ІЕ,CE,IE
місто Севастополь,СН,ІН,CH,IH
Загальнодержавна серія,ІІ,II
